seq_id,game_id,entry_period,entry_clock,entry_type,entry_team,defend_team,shot_within_horizon,n_frames,n_puck_points,fps_estimate
38,2025-10-11.Team.A.@.Team.D,1,04:34:00,Carried,Team A,Team D,false,151,151,30.0
39,2025-10-11.Team.A.@.Team.D,1,04:01:00,Carried,Team A,Team D,false,150,150,30.0
40,2025-10-11.Team.A.@.Team.D,1,03:34:00,Dumped,Team D,Team A,false,151,151,30.0
41,2025-10-11.Team.A.@.Team.D,1,03:04:00,Carried,Team D,Team A,false,163,154,30.0
42,2025-10-11.Team.A.@.Team.D,1,02:56:00,Carried,Team A,Team D,false,151,151,30.0
43,2025-10-11.Team.A.@.Team.D,1,02:15:00,Carried,Team D,Team A,true,152,152,30.0
44,2025-10-11.Team.A.@.Team.D,1,01:43:00,Carried,Team D,Team A,true,151,151,30.0
45,2025-10-11.Team.A.@.Team.D,1,01:24:00,Carried,Team A,Team D,true,151,89,30.0
46,2025-10-11.Team.A.@.Team.D,1,01:09:00,Carried,Team D,Team A,false,153,153,30.0
47,2025-10-11.Team.A.@.Team.D,1,00:33:00,Carried,Team D,Team A,false,151,151,30.0
48,2025-10-11.Team.A.@.Team.D,1,00:24:00,Dumped,Team A,Team D,false,151,151,30.0
49,2025-10-11.Team.A.@.Team.D,1,00:10:00,Carried,Team D,Team A,false,151,151,30.0
50,2025-10-11.Team.A.@.Team.D,2,19:58:00,Dumped,Team A,Team D,false,151,147,30.0
51,2025-10-11.Team.A.@.Team.D,2,19:43:00,Dumped,Team A,Team D,false,126,112,30.0
52,2025-10-11.Team.A.@.Team.D,2,18:45:00,Dumped,Team A,Team D,false,151,151,30.0
53,2025-10-11.Team.A.@.Team.D,2,18:26:00,Carried,Team A,Team D,false,152,147,30.0
54,2025-10-11.Team.A.@.Team.D,2,18:05:00,Carried,Team A,Team D,true,152,152,30.0
55,2025-10-11.Team.A.@.Team.D,2,17:31:00,Dumped,Team D,Team A,false,151,151,30.0
56,2025-10-11.Team.A.@.Team.D,2,16:50:00,Carried,Team A,Team D,true,152,84,30.0
57,2025-10-11.Team.A.@.Team.D,2,16:33:00,Carried,Team D,Team A,false,151,151,30.0
58,2025-10-11.Team.A.@.Team.D,2,16:27:00,Carried,Team A,Team D,false,151,151,30.0
59,2025-10-11.Team.A.@.Team.D,2,16:04:00,Carried,Team D,Team A,false,161,145,30.0
60,2025-10-11.Team.A.@.Team.D,2,15:58:00,Dumped,Team D,Team A,false,151,151,30.0
61,2025-10-11.Team.A.@.Team.D,2,15:48:00,Dumped,Team D,Team A,false,151,151,30.0
62,2025-10-11.Team.A.@.Team.D,2,15:40:00,Played,Team A,Team D,false,163,133,30.0
63,2025-10-11.Team.A.@.Team.D,2,15:35:00,Carried,Team A,Team D,false,151,150,30.0
64,2025-10-11.Team.A.@.Team.D,2,15:16:00,Played,Team D,Team A,true,152,152,30.0
65,2025-10-11.Team.A.@.Team.D,2,14:59:00,Carried,Team D,Team A,true,150,150,30.0
66,2025-10-11.Team.A.@.Team.D,2,14:40:00,Carried,Team D,Team A,false,151,151,30.0
67,2025-10-11.Team.A.@.Team.D,2,14:29:00,Dumped,Team D,Team A,false,151,151,30.0
68,2025-10-11.Team.A.@.Team.D,2,13:59:00,Carried,Team D,Team A,false,151,151,30.0
69,2025-10-11.Team.A.@.Team.D,2,13:19:00,Carried,Team A,Team D,true,152,152,30.0
70,2025-10-11.Team.A.@.Team.D,2,13:01:00,Carried,Team D,Team A,false,151,151,30.0
71,2025-10-11.Team.A.@.Team.D,2,12:48:00,Carried,Team D,Team A,true,150,150,30.0
72,2025-10-11.Team.A.@.Team.D,2,12:38:00,Carried,Team A,Team D,false,153,127,30.0
73,2025-10-11.Team.A.@.Team.D,2,12:34:00,Played,Team D,Team A,false,164,93,30.0
74,2025-10-11.Team.A.@.Team.D,2,12:29:00,Dumped,Team A,Team D,false,151,151,30.0
75,2025-10-11.Team.A.@.Team.D,2,12:04:00,Carried,Team D,Team A,false,151,151,30.0
76,2025-10-11.Team.A.@.Team.D,2,11:42:00,Carried,Team D,Team A,false,151,151,30.0
77,2025-10-11.Team.A.@.Team.D,2,11:19:00,Carried,Team A,Team D,true,151,151,30.0
78,2025-10-11.Team.A.@.Team.D,2,11:11:00,Carried,Team D,Team A,false,151,151,30.0
79,2025-10-11.Team.A.@.Team.D,2,10:50:00,Dumped,Team D,Team A,false,151,151,30.0
80,2025-10-11.Team.A.@.Team.D,2,10:32:00,Dumped,Team D,Team A,false,124,104,30.0
81,2025-10-11.Team.A.@.Team.D,2,10:23:00,Dumped,Team A,Team D,false,151,151,30.0
82,2025-10-11.Team.A.@.Team.D,2,10:02:00,Carried,Team D,Team A,true,152,152,30.0
83,2025-10-11.Team.A.@.Team.D,2,09:21:00,Dumped,Team D,Team A,false,151,151,30.0
84,2025-10-11.Team.A.@.Team.D,2,08:19:00,Dumped,Team D,Team A,false,151,151,30.0
85,2025-10-11.Team.A.@.Team.D,2,08:03:00,Carried,Team D,Team A,true,152,152,30.0
86,2025-10-11.Team.A.@.Team.D,2,07:41:00,Dumped,Team A,Team D,false,151,151,30.0
87,2025-10-11.Team.A.@.Team.D,2,06:47:00,Carried,Team D,Team A,true,151,151,30.0
88,2025-10-11.Team.A.@.Team.D,2,06:20:00,Dumped,Team A,Team D,false,151,151,30.0
89,2025-10-11.Team.A.@.Team.D,2,06:11:00,Carried,Team D,Team A,false,151,151,30.0
90,2025-10-11.Team.A.@.Team.D,2,05:44:00,Carried,Team A,Team D,false,151,151,30.0
91,2025-10-11.Team.A.@.Team.D,2,05:31:00,Carried,Team D,Team A,false,152,152,30.0
92,2025-10-11.Team.A.@.Team.D,2,05:14:00,Carried,Team D,Team A,false,151,151,30.0
93,2025-10-11.Team.A.@.Team.D,2,05:01:00,Dumped,Team D,Team A,false,151,151,30.0
94,2025-10-11.Team.A.@.Team.D,2,04:34:00,Carried,Team D,Team A,true,151,151,30.0
95,2025-10-11.Team.A.@.Team.D,2,04:21:00,Dumped,Team D,Team A,false,152,152,30.0
96,2025-10-11.Team.A.@.Team.D,2,04:11:00,Carried,Team A,Team D,true,150,150,30.0
97,2025-10-11.Team.A.@.Team.D,2,03:49:00,Carried,Team A,Team D,false,152,110,30.0
98,2025-10-11.Team.A.@.Team.D,2,03:40:00,Dumped,Team D,Team A,false,151,151,30.0
99,2025-10-11.Team.A.@.Team.D,2,02:42:00,Dumped,Team D,Team A,false,151,135,30.0
100,2025-10-11.Team.A.@.Team.D,2,02:27:00,Carried,Team D,Team A,false,151,151,30.0
101,2025-10-11.Team.A.@.Team.D,2,02:15:00,Carried,Team D,Team A,false,153,153,30.0
102,2025-10-11.Team.A.@.Team.D,2,02:03:00,Dumped,Team A,Team D,false,151,151,30.0
103,2025-10-11.Team.A.@.Team.D,2,01:07:00,Dumped,Team A,Team D,false,151,151,30.0
104,2025-10-11.Team.A.@.Team.D,2,00:37:00,Dumped,Team D,Team A,false,151,151,30.0
105,2025-10-11.Team.A.@.Team.D,2,00:06:00,Carried,Team A,Team D,false,152,152,30.0
106,2025-10-11.Team.A.@.Team.D,3,19:53:00,Carried,Team D,Team A,false,151,151,30.0
107,2025-10-11.Team.A.@.Team.D,3,19:33:00,Carried,Team A,Team D,true,151,151,30.0
108,2025-10-11.Team.A.@.Team.D,3,18:50:00,Carried,Team A,Team D,false,152,152,30.0
109,2025-10-11.Team.A.@.Team.D,3,18:28:00,Carried,Team A,Team D,false,151,151,30.0
110,2025-10-11.Team.A.@.Team.D,3,18:04:00,Carried,Team A,Team D,false,151,151,30.0
111,2025-10-11.Team.A.@.Team.D,3,17:43:00,Carried,Team A,Team D,false,150,150,30.0
112,2025-10-11.Team.A.@.Team.D,3,17:19:00,Carried,Team A,Team D,true,151,151,30.0
113,2025-10-11.Team.A.@.Team.D,3,17:04:00,Carried,Team D,Team A,true,151,151,30.0
114,2025-10-11.Team.A.@.Team.D,3,16:39:00,Dumped,Team D,Team A,false,151,151,30.0
115,2025-10-11.Team.A.@.Team.D,3,16:12:00,Carried,Team A,Team D,false,151,151,30.0
116,2025-10-11.Team.A.@.Team.D,3,16:03:00,Carried,Team D,Team A,false,151,151,30.0
117,2025-10-11.Team.A.@.Team.D,3,15:55:00,Carried,Team A,Team D,false,151,151,30.0
118,2025-10-11.Team.A.@.Team.D,3,15:47:00,Played,Team D,Team A,true,151,151,30.0
119,2025-10-11.Team.A.@.Team.D,3,15:12:00,Dumped,Team A,Team D,false,151,147,30.0
120,2025-10-11.Team.A.@.Team.D,3,14:56:00,Carried,Team D,Team A,false,152,152,30.0
121,2025-10-11.Team.A.@.Team.D,3,14:45:00,Carried,Team A,Team D,true,151,151,30.0
122,2025-10-11.Team.A.@.Team.D,3,14:18:00,Dumped,Team A,Team D,false,151,151,30.0
123,2025-10-11.Team.A.@.Team.D,3,14:06:00,Carried,Team D,Team A,false,151,151,30.0
124,2025-10-11.Team.A.@.Team.D,3,13:59:00,Dumped,Team D,Team A,false,151,148,30.0
125,2025-10-11.Team.A.@.Team.D,3,13:50:00,Dumped,Team A,Team D,false,151,151,30.0
126,2025-10-11.Team.A.@.Team.D,3,13:38:00,Carried,Team D,Team A,true,151,151,30.0
127,2025-10-11.Team.A.@.Team.D,3,13:22:00,Played,Team A,Team D,false,150,150,30.0
128,2025-10-11.Team.A.@.Team.D,3,12:57:00,Carried,Team D,Team A,true,152,152,30.0
129,2025-10-11.Team.A.@.Team.D,3,12:47:00,Dumped,Team A,Team D,false,151,151,30.0
130,2025-10-11.Team.A.@.Team.D,3,12:38:00,Dumped,Team D,Team A,false,152,108,30.0
131,2025-10-11.Team.A.@.Team.D,3,12:06:00,Dumped,Team A,Team D,false,151,58,30.0
132,2025-10-11.Team.A.@.Team.D,3,11:39:00,Dumped,Team A,Team D,false,129,107,30.0
133,2025-10-11.Team.A.@.Team.D,3,11:21:00,Carried,Team D,Team A,true,152,152,30.0
134,2025-10-11.Team.A.@.Team.D,3,10:58:00,Dumped,Team D,Team A,false,151,151,30.0
135,2025-10-11.Team.A.@.Team.D,3,10:32:00,Carried,Team D,Team A,true,151,89,30.0
136,2025-10-11.Team.A.@.Team.D,3,10:19:00,Dumped,Team D,Team A,false,151,151,30.0
137,2025-10-11.Team.A.@.Team.D,3,10:07:00,Carried,Team A,Team D,false,152,152,30.0
138,2025-10-11.Team.A.@.Team.D,3,09:52:00,Carried,Team D,Team A,true,163,161,30.0
139,2025-10-11.Team.A.@.Team.D,3,09:42:00,Dumped,Team A,Team D,false,151,151,30.0
140,2025-10-11.Team.A.@.Team.D,3,09:29:00,Carried,Team D,Team A,true,153,146,30.0
141,2025-10-11.Team.A.@.Team.D,3,08:51:00,Dumped,Team D,Team A,false,152,152,30.0
142,2025-10-11.Team.A.@.Team.D,3,08:30:00,Carried,Team D,Team A,true,162,64,30.0
143,2025-10-11.Team.A.@.Team.D,3,07:54:00,Carried,Team A,Team D,false,151,151,30.0
144,2025-10-11.Team.A.@.Team.D,3,07:32:00,Carried,Team A,Team D,true,152,152,30.0
145,2025-10-11.Team.A.@.Team.D,3,07:10:00,Played,Team A,Team D,false,151,151,30.0
146,2025-10-11.Team.A.@.Team.D,3,06:53:00,Carried,Team A,Team D,false,151,134,30.0
147,2025-10-11.Team.A.@.Team.D,3,06:33:00,Dumped,Team A,Team D,false,153,153,30.0
148,2025-10-11.Team.A.@.Team.D,3,05:33:00,Dumped,Team D,Team A,false,151,151,30.0
149,2025-10-11.Team.A.@.Team.D,3,04:55:00,Carried,Team D,Team A,false,150,150,30.0
150,2025-10-11.Team.A.@.Team.D,3,04:36:00,Carried,Team A,Team D,true,151,63,30.0
151,2025-10-11.Team.A.@.Team.D,3,04:19:00,Carried,Team D,Team A,false,151,120,30.0
152,2025-10-11.Team.A.@.Team.D,3,02:21:00,Dumped,Team D,Team A,false,151,151,30.0
153,2025-10-11.Team.A.@.Team.D,3,02:00:00,Dumped,Team D,Team A,false,151,151,30.0
154,2025-10-11.Team.A.@.Team.D,3,00:49:00,Dumped,Team D,Team A,false,152,152,30.0
155,2025-10-11.Team.A.@.Team.D,3,00:24:00,Carried,Team D,Team A,false,152,152,30.0
156,2025-10-11.Team.A.@.Team.D,3,00:12:00,Dumped,Team D,Team A,false,151,151,30.0
157,2025-10-17.Team.F.@.Team.L,1,19:20:00,Played,Team L,Team F,true,152,152,30.0
158,2025-10-17.Team.F.@.Team.L,1,19:04:00,Carried,Team F,Team L,true,122,119,30.0
159,2025-10-17.Team.F.@.Team.L,1,18:44:00,Carried,Team L,Team F,false,152,152,30.0
160,2025-10-17.Team.F.@.Team.L,1,18:32:00,Played,Team F,Team L,false,152,152,30.0
161,2025-10-17.Team.F.@.Team.L,1,18:23:00,Played,Team L,Team F,false,151,151,30.0
162,2025-10-17.Team.F.@.Team.L,1,18:11:00,Played,Team F,Team L,false,150,150,30.0
163,2025-10-17.Team.F.@.Team.L,1,17:57:00,Dumped,Team L,Team F,false,143,85,30.0
164,2025-10-17.Team.F.@.Team.L,1,16:53:00,Carried,Team F,Team L,true,151,151,30.0
165,2025-10-17.Team.F.@.Team.L,1,16:25:00,Carried,Team L,Team F,false,151,151,30.0
166,2025-10-17.Team.F.@.Team.L,1,15:55:00,Dumped,Team L,Team F,false,152,152,30.0
167,2025-10-17.Team.F.@.Team.L,1,15:47:00,Carried,Team F,Team L,true,152,152,30.0
168,2025-10-17.Team.F.@.Team.L,1,15:26:00,Played,Team L,Team F,false,145,145,30.0
169,2025-10-17.Team.F.@.Team.L,1,15:05:00,Played,Team F,Team L,true,151,151,30.0
170,2025-10-17.Team.F.@.Team.L,1,14:48:00,Dumped,Team L,Team F,false,152,152,30.0
171,2025-10-17.Team.F.@.Team.L,1,14:27:00,Dumped,Team F,Team L,false,152,152,30.0
172,2025-10-17.Team.F.@.Team.L,1,14:16:00,Carried,Team L,Team F,false,151,151,30.0
173,2025-10-17.Team.F.@.Team.L,1,14:09:00,Carried,Team F,Team L,false,152,152,30.0
174,2025-10-17.Team.F.@.Team.L,1,13:52:00,Dumped,Team F,Team L,false,151,151,30.0
175,2025-10-17.Team.F.@.Team.L,1,13:35:00,Carried,Team L,Team F,false,152,152,30.0
176,2025-10-17.Team.F.@.Team.L,1,13:13:00,Dumped,Team F,Team L,true,151,151,30.0
177,2025-10-17.Team.F.@.Team.L,1,11:57:00,Carried,Team F,Team L,false,151,151,30.0
178,2025-10-17.Team.F.@.Team.L,1,11:35:00,Played,Team L,Team F,true,151,151,30.0
179,2025-10-17.Team.F.@.Team.L,1,11:12:00,Carried,Team F,Team L,false,151,151,30.0
180,2025-10-17.Team.F.@.Team.L,1,10:58:00,Dumped,Team F,Team L,false,151,71,30.0
181,2025-10-17.Team.F.@.Team.L,1,10:38:00,Dumped,Team F,Team L,false,151,151,30.0
182,2025-10-17.Team.F.@.Team.L,1,10:28:00,Carried,Team L,Team F,false,151,151,30.0
183,2025-10-17.Team.F.@.Team.L,1,09:10:00,Carried,Team F,Team L,false,151,151,30.0
184,2025-10-17.Team.F.@.Team.L,1,09:01:00,Carried,Team L,Team F,false,151,151,30.0
185,2025-10-17.Team.F.@.Team.L,1,08:20:00,Dumped,Team F,Team L,false,151,151,30.0
186,2025-10-17.Team.F.@.Team.L,1,08:12:00,Carried,Team F,Team L,false,151,137,30.0
187,2025-10-17.Team.F.@.Team.L,1,07:25:00,Played,Team F,Team L,true,151,151,30.0
188,2025-10-17.Team.F.@.Team.L,1,06:54:00,Dumped,Team L,Team F,true,151,151,30.0
189,2025-10-17.Team.F.@.Team.L,1,06:20:00,Carried,Team F,Team L,false,151,151,30.0
190,2025-10-17.Team.F.@.Team.L,1,04:31:00,Dumped,Team F,Team L,false,151,151,30.0
191,2025-10-17.Team.F.@.Team.L,1,04:19:00,Carried,Team F,Team L,false,151,151,30.0
192,2025-10-17.Team.F.@.Team.L,1,04:12:00,Played,Team F,Team L,true,153,59,30.0
193,2025-10-17.Team.F.@.Team.L,1,04:04:00,Dumped,Team L,Team F,false,151,151,30.0
194,2025-10-17.Team.F.@.Team.L,1,03:46:00,Played,Team L,Team F,true,151,151,30.0
195,2025-10-17.Team.F.@.Team.L,1,03:23:00,Played,Team F,Team L,false,151,151,30.0
196,2025-10-17.Team.F.@.Team.L,1,03:09:00,Dumped,Team L,Team F,false,150,150,30.0
197,2025-10-17.Team.F.@.Team.L,1,02:57:00,Carried,Team F,Team L,false,152,152,30.0
198,2025-10-17.Team.F.@.Team.L,1,02:42:00,Dumped,Team F,Team L,false,151,151,30.0
199,2025-10-17.Team.F.@.Team.L,1,02:05:00,Dumped,Team F,Team L,false,151,151,30.0
200,2025-10-17.Team.F.@.Team.L,1,01:53:00,Carried,Team L,Team F,false,151,151,30.0
201,2025-10-17.Team.F.@.Team.L,1,01:50:00,Carried,Team F,Team L,false,152,152,30.0
202,2025-10-17.Team.F.@.Team.L,1,01:43:00,Carried,Team L,Team F,false,151,151,30.0
203,2025-10-17.Team.F.@.Team.L,1,01:34:00,Carried,Team L,Team F,false,152,152,30.0
204,2025-10-17.Team.F.@.Team.L,1,01:23:00,Carried,Team F,Team L,false,157,157,30.0
205,2025-10-17.Team.F.@.Team.L,1,00:59:00,Dumped,Team F,Team L,false,151,151,30.0
206,2025-10-17.Team.F.@.Team.L,1,00:22:00,Dumped,Team L,Team F,false,151,151,30.0
207,2025-10-17.Team.F.@.Team.L,2,19:45:00,Dumped,Team L,Team F,false,152,152,30.0
208,2025-10-17.Team.F.@.Team.L,2,19:31:00,Played,Team F,Team L,false,151,151,30.0
209,2025-10-17.Team.F.@.Team.L,2,18:55:00,Played,Team F,Team L,false,150,150,30.0
210,2025-10-17.Team.F.@.Team.L,2,17:59:00,Dumped,Team L,Team F,false,152,152,30.0
211,2025-10-17.Team.F.@.Team.L,2,17:50:00,Carried,Team F,Team L,false,151,151,30.0
212,2025-10-17.Team.F.@.Team.L,2,17:37:00,Played,Team L,Team F,true,151,151,30.0
213,2025-10-17.Team.F.@.Team.L,2,17:16:00,Dumped,Team L,Team F,false,151,151,30.0
214,2025-10-17.Team.F.@.Team.L,2,17:05:00,Carried,Team F,Team L,false,133,61,30.0
215,2025-10-17.Team.F.@.Team.L,2,16:41:00,Carried,Team L,Team F,true,156,70,30.0
216,2025-10-17.Team.F.@.Team.L,2,16:29:00,Played,Team F,Team L,true,153,153,30.0
217,2025-10-17.Team.F.@.Team.L,2,15:38:00,Carried,Team L,Team F,false,151,151,30.0
218,2025-10-17.Team.F.@.Team.L,2,14:57:00,Carried,Team F,Team L,false,151,151,30.0
219,2025-10-17.Team.F.@.Team.L,2,14:38:00,Played,Team L,Team F,false,158,158,30.0
220,2025-10-17.Team.F.@.Team.L,2,13:30:00,Carried,Team F,Team L,true,155,155,30.0
221,2025-10-17.Team.F.@.Team.L,2,13:07:00,Carried,Team L,Team F,false,151,151,30.0
222,2025-10-17.Team.F.@.Team.L,2,12:37:00,Played,Team L,Team F,true,152,152,30.0
223,2025-10-17.Team.F.@.Team.L,2,12:22:00,Carried,Team F,Team L,false,152,152,30.0
224,2025-10-17.Team.F.@.Team.L,2,12:08:00,Carried,Team L,Team F,false,152,152,30.0
225,2025-10-17.Team.F.@.Team.L,2,12:01:00,Dumped,Team F,Team L,false,151,151,30.0
226,2025-10-17.Team.F.@.Team.L,2,11:47:00,Carried,Team L,Team F,false,151,151,30.0
227,2025-10-17.Team.F.@.Team.L,2,11:34:00,Dumped,Team L,Team F,false,161,102,30.0
228,2025-10-17.Team.F.@.Team.L,2,11:27:00,Carried,Team F,Team L,true,151,151,30.0
229,2025-10-17.Team.F.@.Team.L,2,11:01:00,Dumped,Team L,Team F,false,151,151,30.0
230,2025-10-17.Team.F.@.Team.L,2,10:56:00,Carried,Team F,Team L,false,151,75,30.0
231,2025-10-17.Team.F.@.Team.L,2,10:23:00,Carried,Team F,Team L,true,151,151,30.0
232,2025-10-17.Team.F.@.Team.L,2,10:07:00,Carried,Team L,Team F,false,151,151,30.0
233,2025-10-17.Team.F.@.Team.L,2,09:09:00,Carried,Team L,Team F,false,157,157,30.0
234,2025-10-17.Team.F.@.Team.L,2,08:47:00,Carried,Team F,Team L,true,142,142,30.0
235,2025-10-17.Team.F.@.Team.L,2,08:25:00,Carried,Team F,Team L,true,151,151,30.0
236,2025-10-17.Team.F.@.Team.L,2,07:41:00,Dumped,Team F,Team L,false,148,148,30.0
237,2025-10-17.Team.F.@.Team.L,2,06:43:00,Carried,Team L,Team F,false,158,158,30.0
238,2025-10-17.Team.F.@.Team.L,2,06:18:00,Carried,Team L,Team F,false,151,151,30.0
239,2025-10-17.Team.F.@.Team.L,2,05:26:00,Carried,Team F,Team L,true,119,65,30.0
240,2025-10-17.Team.F.@.Team.L,2,05:14:00,Carried,Team L,Team F,true,151,151,30.0
241,2025-10-17.Team.F.@.Team.L,2,04:59:00,Dumped,Team F,Team L,false,147,139,30.0
242,2025-10-17.Team.F.@.Team.L,2,04:29:00,Carried,Team L,Team F,true,150,149,30.0
243,2025-10-17.Team.F.@.Team.L,2,04:10:00,Played,Team L,Team F,false,151,151,30.0
244,2025-10-17.Team.F.@.Team.L,2,03:54:00,Played,Team F,Team L,false,150,150,30.0
245,2025-10-17.Team.F.@.Team.L,2,03:37:00,Dumped,Team L,Team F,false,144,144,30.0
246,2025-10-17.Team.F.@.Team.L,2,03:12:00,Carried,Team F,Team L,true,150,90,30.0
247,2025-10-17.Team.F.@.Team.L,2,02:50:00,Carried,Team L,Team F,true,163,92,30.0
248,2025-10-17.Team.F.@.Team.L,2,02:13:00,Carried,Team F,Team L,false,151,151,30.0
249,2025-10-17.Team.F.@.Team.L,2,02:04:00,Carried,Team L,Team F,false,147,147,30.0
250,2025-10-17.Team.F.@.Team.L,2,01:51:00,Carried,Team F,Team L,false,151,151,30.0
251,2025-10-17.Team.F.@.Team.L,2,01:18:00,Dumped,Team L,Team F,false,136,136,30.0
252,2025-10-17.Team.F.@.Team.L,3,19:40:00,Played,Team L,Team F,false,152,152,30.0
253,2025-10-17.Team.F.@.Team.L,3,18:48:00,Carried,Team L,Team F,false,151,151,30.0
254,2025-10-17.Team.F.@.Team.L,3,18:40:00,Played,Team F,Team L,false,150,150,30.0
255,2025-10-17.Team.F.@.Team.L,3,18:28:00,Dumped,Team L,Team F,false,103,89,30.0
256,2025-10-17.Team.F.@.Team.L,3,18:05:00,Played,Team L,Team F,true,151,151,30.0
257,2025-10-17.Team.F.@.Team.L,3,17:53:00,Carried,Team F,Team L,false,152,152,30.0
258,2025-10-17.Team.F.@.Team.L,3,17:27:00,Dumped,Team F,Team L,false,152,152,30.0
259,2025-10-17.Team.F.@.Team.L,3,17:20:00,Dumped,Team L,Team F,false,152,152,30.0
260,2025-10-17.Team.F.@.Team.L,3,16:38:00,Carried,Team F,Team L,true,151,151,30.0
261,2025-10-17.Team.F.@.Team.L,3,16:29:00,Carried,Team L,Team F,false,66,65,30.0
262,2025-10-17.Team.F.@.Team.L,3,15:54:00,Dumped,Team F,Team L,false,150,150,30.0
263,2025-10-17.Team.F.@.Team.L,3,15:08:00,Dumped,Team F,Team L,false,97,96,30.0
264,2025-10-17.Team.F.@.Team.L,3,14:43:00,Dumped,Team L,Team F,false,140,105,30.0
265,2025-10-17.Team.F.@.Team.L,3,13:25:00,Carried,Team L,Team F,false,151,151,30.0
266,2025-10-17.Team.F.@.Team.L,3,13:14:00,Played,Team L,Team F,false,152,152,30.0
267,2025-10-17.Team.F.@.Team.L,3,12:05:00,Carried,Team L,Team F,false,138,135,30.0
268,2025-10-17.Team.F.@.Team.L,3,11:53:00,Dumped,Team F,Team L,false,152,152,30.0
269,2025-10-17.Team.F.@.Team.L,3,11:40:00,Dumped,Team L,Team F,false,150,150,30.0
270,2025-10-17.Team.F.@.Team.L,3,10:52:00,Carried,Team L,Team F,false,151,151,30.0
